Entity;Code;Year;Fixed telephone subscriptions;Fixed broadband subscriptions;Mobile cellular subscriptions;Number of Internet users
Afghanistan;AFG;2020;145787;26570;22678024;7170891
Albania;ALB;2020;223469;508937;2618880;2071012
Algeria;DZA;2020;4784306;3790459;45555672;27331100
American Samoa;ASM;2020;10000;;;
Andorra;AND;2020;40000;37000;94000;
Angola;AGO;2020;119164;230610;14645050;12034256
Antigua and Barbuda;ATG;2020;27000;8000;184000;
Argentina;ARG;2020;7356165;9571562;54763900;38505807
Armenia;ARM;2020;427539;430407;3488797;2146572
Aruba;ABW;2020;35000;19000;141000;
Australia;AUS;2020;6200000;9099619;27453000;23000366
Austria;AUT;2020;3786725;2606000;10717445;7796929
Azerbaijan;AZE;2020;1652688;1995474;10344300;8701069
Bahamas;BHS;2020;91000;83000;466000;353636
Bahrain;BHR;2020;274106;148928;1748672;1472602
Bangladesh;BGD;2020;1390048;10052819;176279472;41520393
Barbados;BRB;2020;128000;128000;295000;
Belarus;BLR;2020;4406560;3255552;11704084;8197353
Belgium;BEL;2020;3634639;4734210;11529728;10582024
Belize;BLZ;2020;19000;36000;264000;
Benin;BEN;2020;32386;29981;11140891;3261925
Bermuda;BMU;2020;25000;23000;68000;
Bhutan;BTN;2020;22987;3189;745137;413294
Bolivia;BOL;2020;598082;931918;11804343;7154552
Bosnia and Herzegovina;BIH;2020;706135;770424;3509674;2429408
Botswana;BWA;2020;140003;259525;3829408;1629699
Brazil;BRA;2020;30653812;36344672;205834784;173419624
British Virgin Islands;VGB;2020;7000;6738;35163;
Brunei;BRN;2020;103885;71078;536589;419649
Bulgaria;BGR;2020;872757;2115053;7945739;4896594
Burkina Faso;BFA;2020;75039;13979;22117218;4734979
Burundi;BDI;2020;18300;4230;6631151;1148701
Cambodia;KHM;2020;55603;233772;21086792;
Cameroon;CMR;2020;964378;722579;22350310;10013632
Canada;CAN;2020;13340000;15825813;32360000;36740677
Cape Verde;CPV;2020;57668;24839;544729;375807
Cayman Islands;CYM;2020;36000;32000;100000;
Central African Republic;CAF;2020;2000;;1831000;555674
Chad;TCD;2020;5340;0;8687151;1731049
Chile;CHL;2020;2567938;3763826;25068248;17042181
China;CHN;2020;181908000;483549504;1718411008;1003218650
Colombia;COL;2020;7248026;7764772;67672568;35544505
Comoros;COM;2020;7573;1066;781579;
Congo;COG;2020;17000;1000;4890000;
Costa Rica;CRI;2020;559882;992725;7512370;4125648
Cote d'Ivoire;CIV;2020;264073;260097;40095248;
Croatia;HRV;2020;1299329;1030973;4375699;3208708
Cuba;CUB;2020;1502230;231654;6661763;8362514
Curacao;CUW;2020;54000;55000;182000;
Cyprus;CYP;2020;311439;332080;1239960;1123710
Czechia;CZE;2020;1335224;3845426;12999812;8565759
Democratic Republic of Congo;COD;2020;0;31000;40798396;12628031
Denmark;DNK;2020;734436;2590282;7252675;5624604
Djibouti;DJI;2020;38866;25053;434035;643196
Dominica;DMA;2020;1000;16000;76000;
Dominican Republic;DOM;2020;1155493;1031858;8989587;8458745
Ecuador;ECU;2020;2063044;2371297;15485366;11362233
Egypt;EGY;2020;9858331;9349469;95357424;77282687
El Salvador;SLV;2020;894000;586000;9949000;3435919
Equatorial Guinea;GNQ;2020;11000;1000;645000;
Eritrea;ERI;2020;66000;5000;1801000;
Estonia;EST;2020;304728;415610;1925789;1183985
Eswatini;SWZ;2020;39000;12000;1243000;
Ethiopia;ETH;2020;1252000;212000;44500000;28125821
Faeroe Islands;FRO;2020;15341;18443;59213;
Fiji;FJI;2020;48510;23062;991500;
Finland;FIN;2020;225000;1846000;7120000;5096511
France;FRA;2020;37759000;30627000;72751000;54679086
French Polynesia;PYF;2020;94000;64000;335000;
Gabon;GAB;2020;25428;44607;3049530;1421401
Gambia;GMB;2020;60000;5000;2677954;939512
Georgia;GEO;2020;387698;972162;5100101;2731476
Germany;DEU;2020;38300000;36215304;107400000;74840220
Ghana;GHA;2020;307668;78371;40461608;18664633
Gibraltar;GIB;2020;17041;21009;35438;
Greece;GRC;2020;5028332;4257026;11412995;8211719
Greenland;GRL;2020;6352;15649;65958;
Grenada;GRD;2020;16000;32000;122000;70369
Guam;GUM;2020;70000;3000;;
Guatemala;GTM;2020;2272467;612000;20390672;8676149
Guinea;GIN;2020;;1000;13795000;3433341
Guinea-Bissau;GNB;2020;;2383;1913858;461627
Guyana;GUY;2020;125000;95000;856000;
Haiti;HTI;2020;6000;31000;7319000;3900847
Honduras;HND;2020;531763;396916;6960654;4256201
Hong Kong;HKG;2020;3900599;2885586;21865216;6931868
Hungary;HUN;2020;2970347;3265308;10332660;8265671
Iceland;ISL;2020;107032;141816;421384;363015
India;IND;2020;20052162;22950000;1153709824;600446441
Indonesia;IDN;2020;9662135;11722218;355620384;146059763
Iran;IRN;2020;29093588;9564195;127624952;73420540
Iraq;IRQ;2020;2699758;6254099;37475324;
Ireland;IRL;2020;1678651;1516473;5234027;4550428
Israel;ISR;2020;3370000;2602079;12270000;7892890
Italy;ITA;2020;19607340;18128788;77581048;41938046
Jamaica;JAM;2020;436249;385603;2873259;
Japan;JPN;2020;61978592;44000792;195054896;112995146
Jordan;JOR;2020;391486;630545;6987891;
Kazakhstan;KAZ;2020;3091000;2620400;24293900;16311260
Kenya;KEN;2020;66646;674191;61408904;15335805
Kiribati;KIR;2020;33;185;54661;48060
Kuwait;KWT;2020;583463;73948;6770346;4321463
Kyrgyzstan;KGZ;2020;299000;289000;8511000;
Laos;LAO;2020;1491000;128000;4100000;2473956
Latvia;LVA;2020;211849;490569;2051359;1686484
Lebanon;LBN;2020;875480;432070;4288221;4762519
Lesotho;LSO;2020;11574;5060;1562648;969265
Liberia;LBR;2020;6000;13000;1653000;1302423
Libya;LBY;2020;1576000;332000;2922000;
Liechtenstein;LIE;2020;12607;18050;48887;
Lithuania;LTU;2020;322108;796814;3671995;2342390
Luxembourg;LUX;2020;268090;235155;890000;622978
Macao;MAC;2020;110000;208000;2793000;595809
Madagascar;MDG;2020;69000;32000;15869000;
Malawi;MWI;2020;12465;12255;10004680;
Malaysia;MYS;2020;7467900;3358800;43723600;29732254
Maldives;MDV;2020;14508;63685;717708;323744
Mali;MLI;2020;281638;243806;25315598;5815387
Malta;MLT;2020;259456;213419;633123;447639
Marshall Islands;MHL;2020;;1000;16000;
Mauritania;MRT;2020;62099;18457;4932571;1835431
Mauritius;MUS;2020;478700;323200;1912900;842096
Mexico;MEX;2020;24500456;21936132;122898392;90678697
Micronesia (country);FSM;2020;7000;6000;22000;
Moldova;MDA;2020;1027689;719001;3420383;
Monaco;MCO;2020;43706;20877;35485;
Mongolia;MNG;2020;160153;307166;4363919;2058963
Montenegro;MNE;2020;191768;184176;1080089;488204
