Entity,Code,Year,Productivity: output per hour worked
Argentina,ARG,1990,9.34559
Argentina,ARG,1991,10.72936
Argentina,ARG,1992,12.5184765
Argentina,ARG,1993,14.229115
Argentina,ARG,1994,16.264364
Argentina,ARG,1995,19.057482
Argentina,ARG,1996,23.936634
Argentina,ARG,1997,23.406992
Argentina,ARG,1998,22.246105
Argentina,ARG,1999,20.943682
Argentina,ARG,2000,20.869158
Argentina,ARG,2001,20.300793
Argentina,ARG,2002,18.544622
Argentina,ARG,2003,19.140049
Argentina,ARG,2004,19.305756
Argentina,ARG,2005,19.672619
Argentina,ARG,2006,20.713331
Argentina,ARG,2007,21.948978
Argentina,ARG,2008,23.103422
Argentina,ARG,2009,22.24469
Argentina,ARG,2010,24.664722
Argentina,ARG,2011,27.121876
Argentina,ARG,2012,27.660812
Argentina,ARG,2013,27.395718
Argentina,ARG,2014,26.616257
Argentina,ARG,2015,26.997778
Argentina,ARG,2016,27.98419
Argentina,ARG,2017,30.95546
Argentina,ARG,2018,30.952593
Argentina,ARG,2019,29.42588
Australia,AUS,1990,34.717422
Australia,AUS,1991,35.753605
Australia,AUS,1992,37.43999
Australia,AUS,1993,38.279926
Australia,AUS,1994,38.63741
Australia,AUS,1995,39.189438
Australia,AUS,1996,41.00176
Australia,AUS,1997,42.7722
Australia,AUS,1998,43.82873
Australia,AUS,1999,45.23416
Australia,AUS,2000,45.415455
Australia,AUS,2001,47.16524
Australia,AUS,2002,47.55953
Australia,AUS,2003,48.647198
Australia,AUS,2004,49.612198
Australia,AUS,2005,51.532955
Australia,AUS,2006,51.622116
Australia,AUS,2007,51.45444
Australia,AUS,2008,52.85944
Australia,AUS,2009,53.129284
Australia,AUS,2010,56.738533
Australia,AUS,2011,58.76907
Australia,AUS,2012,58.172035
Australia,AUS,2013,60.47338
Australia,AUS,2014,60.122875
Australia,AUS,2015,56.053726
Australia,AUS,2016,59.619713
Australia,AUS,2017,60.34168
Australia,AUS,2018,61.878532
Australia,AUS,2019,61.438488
Austria,AUT,1990,31.620522
Austria,AUT,1991,32.5917
Austria,AUT,1992,34.509747
Austria,AUT,1993,35.524967
Austria,AUT,1994,37.20332
Austria,AUT,1995,39.36852
Austria,AUT,1996,39.323376
Austria,AUT,1997,40.81398
Austria,AUT,1998,42.53225
Austria,AUT,1999,43.386806
Austria,AUT,2000,45.390182
Austria,AUT,2001,44.377754
Austria,AUT,2002,45.44068
Austria,AUT,2003,46.49087
Austria,AUT,2004,48.04215
Austria,AUT,2005,52.797462
Austria,AUT,2006,53.47992
Austria,AUT,2007,54.648876
Austria,AUT,2008,55.810387
Austria,AUT,2009,54.958294
Austria,AUT,2010,56.444805
Austria,AUT,2011,57.740795
Austria,AUT,2012,58.960068
Austria,AUT,2013,58.534805
Austria,AUT,2014,61.13571
Austria,AUT,2015,62.702095
Austria,AUT,2016,62.37842
Austria,AUT,2017,64.780174
Austria,AUT,2018,65.06293
Austria,AUT,2019,65.15168
Bangladesh,BGD,1990,2.0360405
Bangladesh,BGD,1991,2.0363715
Bangladesh,BGD,1992,2.0315714
Bangladesh,BGD,1993,2.0196857
Bangladesh,BGD,1994,2.047829
Bangladesh,BGD,1995,2.0752869
Bangladesh,BGD,1996,2.0698934
Bangladesh,BGD,1997,2.005104
Bangladesh,BGD,1998,1.9297974
Bangladesh,BGD,1999,1.8166075
Bangladesh,BGD,2000,1.8243959
Bangladesh,BGD,2001,1.8358469
Bangladesh,BGD,2002,1.8910693
Bangladesh,BGD,2003,1.9046307
Bangladesh,BGD,2004,1.9024031
Bangladesh,BGD,2005,1.9349834
Bangladesh,BGD,2006,2.0549672
Bangladesh,BGD,2007,2.224288
Bangladesh,BGD,2008,2.424032
Bangladesh,BGD,2009,2.5682456
Bangladesh,BGD,2010,2.787817
Bangladesh,BGD,2011,3.2355232
Bangladesh,BGD,2012,3.3843846
Bangladesh,BGD,2013,3.6154296
Bangladesh,BGD,2014,3.7923138
Bangladesh,BGD,2015,4.0340605
Bangladesh,BGD,2016,4.1130853
Bangladesh,BGD,2017,4.3076367
Bangladesh,BGD,2018,4.59153
Bangladesh,BGD,2019,4.791032
Belgium,BEL,1990,40.869923
Belgium,BEL,1991,42.31519
Belgium,BEL,1992,44.594162
Belgium,BEL,1993,46.442467
Belgium,BEL,1994,47.816906
Belgium,BEL,1995,48.26082
Belgium,BEL,1996,48.773266
Belgium,BEL,1997,50.29988
Belgium,BEL,1998,49.44472
Belgium,BEL,1999,51.10491
Belgium,BEL,2000,52.970646
Belgium,BEL,2001,52.792484
Belgium,BEL,2002,53.71766
Belgium,BEL,2003,55.915703
Belgium,BEL,2004,57.090435
Belgium,BEL,2005,63.273796
Belgium,BEL,2006,60.26023
Belgium,BEL,2007,61.016037
Belgium,BEL,2008,65.654396
Belgium,BEL,2009,64.385025
Belgium,BEL,2010,69.09867
Belgium,BEL,2011,67.528786
Belgium,BEL,2012,67.90891
Belgium,BEL,2013,67.90904
Belgium,BEL,2014,68.081566
Belgium,BEL,2015,66.488235
Belgium,BEL,2016,66.85479
Belgium,BEL,2017,68.51652
Belgium,BEL,2018,66.245094
Belgium,BEL,2019,66.26524
Brazil,BRA,1990,8.242826
Brazil,BRA,1991,9.07414
Brazil,BRA,1992,9.409157
Brazil,BRA,1993,10.025202
Brazil,BRA,1994,11.191038
Brazil,BRA,1995,12.966644
Brazil,BRA,1996,15.900982
Brazil,BRA,1997,15.198671
Brazil,BRA,1998,14.644109
Brazil,BRA,1999,13.644428
Brazil,BRA,2000,13.205463
Brazil,BRA,2001,13.1499
Brazil,BRA,2002,12.790789
Brazil,BRA,2003,12.609983
Brazil,BRA,2004,12.661911
Brazil,BRA,2005,12.894449
Brazil,BRA,2006,13.6727295
Brazil,BRA,2007,15.1835165
Brazil,BRA,2008,16.644289
Brazil,BRA,2009,17.25405
Brazil,BRA,2010,19.317396
Brazil,BRA,2011,20.919428
Brazil,BRA,2012,20.70806
Brazil,BRA,2013,20.708025
Brazil,BRA,2014,20.427624
Brazil,BRA,2015,19.356064
Brazil,BRA,2016,18.864923
Brazil,BRA,2017,19.188293
Brazil,BRA,2018,19.362707
Brazil,BRA,2019,19.195236
Bulgaria,BGR,1995,15.871054
Bulgaria,BGR,1996,15.218238
Bulgaria,BGR,1997,11.6641445
Bulgaria,BGR,1998,14.167984
Bulgaria,BGR,1999,14.213296
Bulgaria,BGR,2000,15.97558
Bulgaria,BGR,2001,16.91231
Bulgaria,BGR,2002,17.264715
Bulgaria,BGR,2003,17.42531
Bulgaria,BGR,2004,17.387133
Bulgaria,BGR,2005,19.274733
Bulgaria,BGR,2006,19.62069
Bulgaria,BGR,2007,20.245644
Bulgaria,BGR,2008,20.501387
Bulgaria,BGR,2009,21.017033
Bulgaria,BGR,2010,23.100565
Bulgaria,BGR,2011,23.712515
Bulgaria,BGR,2012,24.541597
Bulgaria,BGR,2013,23.3278
Bulgaria,BGR,2014,23.708328
